Franja,R31_Salto,R31_Todos,R37_Salto,R37_Todos,R32_Salto,R32_Todos,R64_Salto,R64_Todos
0,116,149,259,118,66,19,115,12
1,217,126,120,128,170,151,203,151
2,90,127,277,123,95,49,119,49
3,125,121,224,139,75,473,47,515
4,153,139,138,123,83,6,312,4
5,124,126,93,132,125,158,272,185
6,185,145,267,121,82,27,181,27
7,97,143,231,123,65,131,33,165
8,128,122,300,114,12,10,20,4
9,86,138,199,123,230,125,169,145
10,214,132,167,127,37,48,48,49
11,207,124,81,139,56,503,42,471
12,251,114,139,133,80,10,126,6
13,116,122,79,115,141,159,98,202
14,154,118,199,159,100,26,83,22
15,43,112,168,138,60,132,40,143
16,154,126,176,142,23,13,16,12
17,104,108,103,125,214,146,148,161
18,140,123,107,127,85,38,56,32
19,59,118,55,124,109,535,55,488
20,45,120,90,126,313,5,159,8
21,85,129,74,126,158,162,141,174
22,120,143,112,134,227,21,95,15
23,65,133,99,136,47,130,36,128
24,134,118,87,144,48,12,19,10
25,108,117,99,148,281,135,250,122
26,74,148,148,116,177,43,19,47
27,74,112,105,135,258,478,82,500
28,89,122,137,155,304,3,81,9
29,103,138,137,115,303,160,240,177
30,80,140,86,148,247,21,78,15
31,84,137,70,139,94,140,89,125
32,78,120,112,137,73,6,29,10
33,109,105,174,110,444,139,336,126
34,75,140,174,119,70,49,66,55
35,125,122,136,127,111,534,27,450
36,57,129,201,114,488,7,183,3
37,141,126,114,123,356,155,88,188
38,66,123,167,130,359,26,116,37
39,41,137,127,127,163,135,145,129
40,100,141,224,108,286,9,11,8
41,75,137,97,124,216,158,81,116
42,67,130,176,130,260,41,101,44
43,62,123,88,125,226,489,91,527
44,64,147,447,145,473,7,116,10
45,125,131,150,131,240,162,202,181
46,109,143,122,144,314,20,197,24
47,84,114,175,123,86,143,11,110
48,66,142,204,129,36,14,2,14
49,74,125,157,145,219,144,132,160
50,87,139,151,116,75,41,26,46
51,84,132,207,118,50,518,51,466
52,86,116,79,139,129,5,59,3
53,144,138,168,119,154,167,119,213
54,68,125,209,131,98,24,50,22
55,87,112,441,135,48,116,34,128
56,141,134,217,139,32,9,17,9
57,104,118,277,132,284,166,330,124
58,64,117,96,120,57,38,59,38
59,85,129,112,137,31,523,84,442
60,43,108,57,122,68,7,137,6
61,103,140,69,134,126,169,117,183
62,102,128,86,138,116,22,86,21
63,136,123,129,128,71,142,38,141
64,90,131,100,129,33,6,15,12
65,68,137,105,149,296,126,252,125
66,107,123,125,114,63,36,68,56
67,96,139,108,134,98,507,67,487
68,97,142,105,147,162,7,183,9
69,71,150,163,135,369,167,144,171
70,144,127,134,120,126,24,127,32
71,61,115,83,115,59,123,69,153
72,162,114,107,123,28,15,55,15
73,72,128,131,111,495,131,267,151
74,159,137,98,133,70,52,74,38
75,78,145,143,138,63,513,166,496
76,126,150,127,115,220,14,249,2
77,90,137,154,161,202,163,231,203
78,81,135,68,129,133,19,150,14
79,148,125,117,127,177,134,49,154
80,93,130,145,127,66,16,19,15
81,81,127,134,127,343,160,297,171
82,61,141,65,112,123,39,68,44
83,109,128,143,126,123,491,77,464
84,112,131,99,133,232,8,176,6
85,87,136,95,141,292,155,134,175
86,113,141,184,121,252,32,124,20
87,77,124,79,153,135,140,86,147
88,84,114,104,113,19,12,34,16
89,71,130,108,146,506,141,321,165
90,81,119,118,138,39,59,103,39
91,81,104,77,139,73,512,142,461
92,87,130,97,140,216,5,306,10
93,57,104,94,132,284,187,264,182
94,68,147,154,130,233,22,168,30
95,101,149,62,144,46,148,90,141
96,129,127,79,133,86,9,17,7
97,137,111,105,137,355,145,368,139
98,117,132,68,125,92,39,60,37
99,69,112,92,143,201,488,68,424
100,136,130,83,145,428,7,188,8
101,238,141,169,131,241,169,212,178
102,69,120,117,141,253,27,154,20
103,133,139,139,125,63,141,109,139
104,111,113,181,120,41,17,74,12
105,145,120,130,138,296,162,168,158
106,133,103,123,101,83,35,49,36
107,74,133,133,140,91,508,85,465
108,145,112,153,112,284,6,227,5
109,254,138,111,150,378,164,197,206
110,77,127,107,124,244,23,211,20
111,86,150,125,133,90,132,46,145
112,173,133,212,145,25,12,8,8
113,132,133,154,131,243,141,128,154
114,111,152,109,128,70,50,48,47
115,238,132,94,131,74,498,81,474
116,157,125,214,126,289,5,164,16
117,125,132,141,125,192,154,122,186
118,155,113,129,135,152,17,100,28
119,239,121,199,115,89,155,46,137
120,177,126,207,121,40,9,9,14
121,135,126,282,144,326,149,284,136
122,159,123,190,128,137,57,30,38
123,101,145,142,121,95,505,39,500
124,42,113,89,135,210,5,124,6
125,170,127,144,130,181,173,92,171
126,172,131,123,122,175,30,96,18
127,100,133,152,116,65,161,59,130
128,132,142,182,124,40,11,8,4
129,113,137,231,126,244,128,218,130
